             194 a EXC HYDRG1.03            x02
             195 d EXC HYDRG1.03            x03
             196 a EXC HYDRG1.03            x04
             197 a EXC HYDRG1.03            x05
             198 a EXC HYDRG1.03            x06
             199 a EXC HYDRG1.03            x07
             200 a EXC HYDRG1.03            x08
             201 d EXC HYDRG1.03            x09
             202 a EXC HYDRG1.03            x10
             203 a EXC HYDRG1.03            x11
             204 a EXC HYDRG1.03            x12
             205 a EXC HYDRG1.03            x13
             206 a EXC HYDRG1.03            x14
             207 a EXC HYDRG1.03            x15
             208 a EXC HYDRG1.03            x16
             209 a EXC HYDRG1.03            x17
             210 a EXC HYDRG1.03            x18
             211 d EXC HYDRG1.03            x19
             212 d EXC HYDRG1.03            x20
             213 d EXC HYDRG1.03            x21
             214 a TOR HYDRG1.03            x01
             215 d TOR HYDRG1.03            x02
             216 d TOR HYDRG1.03            x03
             217 d TOR HYDRG1.03            x04
             218 a TOR HYDRG1.03            tm
             219 d TOR HYDRG1.03            x06
             220 a SYN CCGTG2.01            iy
             221 a SYN CCGTG2.01            ix
             222 a SYN CCGTG2.01            psiad
             223 a SYN CCGTG2.01            psiaq
             224 d SYN CCGTG2.01            psif
             225 d SYN CCGTG2.01            psid1
             226 d SYN CCGTG2.01            psiq1
             227 d SYN CCGTG2.01            psiq2
             228 d SYN CCGTG2.01            delta
             229 d SYN CCGTG2.01            omega
             230 a EXC CCGTG2.01            vf
             231 a EXC CCGTG2.01            x02
             232 d EXC CCGTG2.01            x03
             233 a EXC CCGTG2.01            x04
             234 a EXC CCGTG2.01            x05
             235 a EXC CCGTG2.01            x06
             236 a EXC CCGTG2.01            x07
             237 a EXC CCGTG2.01            x08
             238 d EXC CCGTG2.01            x09
             239 a EXC CCGTG2.01            x10
             240 a EXC CCGTG2.01            x11
             241 a EXC CCGTG2.01            x12
             242 a EXC CCGTG2.01            x13
             243 a EXC CCGTG2.01            x14
             244 a EXC CCGTG2.01            x15
             245 a EXC CCGTG2.01            x16
             246 a EXC CCGTG2.01            x17
             247 a EXC CCGTG2.01            x18
             248 d EXC CCGTG2.01            x19
             249 d EXC CCGTG2.01            x20
             250 d EXC CCGTG2.01            x21
             251 a TOR CCGTG2.01            tm
             252 a TOR CCGTG2.01            x02
             253 d TOR CCGTG2.01            x03
             254 a TOR CCGTG2.01            x04
             255 d TOR CCGTG2.01            x05
             256 a SYN HYDRG2.03            iy
             257 a SYN HYDRG2.03            ix
             258 a SYN HYDRG2.03            psiad
             259 a SYN HYDRG2.03            psiaq
             260 d SYN HYDRG2.03            psif
             261 d SYN HYDRG2.03            psid1
             262 d SYN HYDRG2.03            psiq1
             263 d SYN HYDRG2.03            psiq2
             264 d SYN HYDRG2.03            delta
             265 d SYN HYDRG2.03            omega
             266 a EXC HYDRG2.03            vf
             267 a EXC HYDRG2.03            x02
             268 d EXC HYDRG2.03            x03
             269 a EXC HYDRG2.03            x04
             270 a EXC HYDRG2.03            x05
             271 a EXC HYDRG2.03            x06
             272 a EXC HYDRG2.03            x07
             273 a EXC HYDRG2.03            x08
             274 d EXC HYDRG2.03            x09
             275 a EXC HYDRG2.03            x10
             276 a EXC HYDRG2.03            x11
             277 a EXC HYDRG2.03            x12
             278 a EXC HYDRG2.03            x13
             279 a EXC HYDRG2.03            x14
             280 a EXC HYDRG2.03            x15
             281 a EXC HYDRG2.03            x16
             282 a EXC HYDRG2.03            x17
             283 a EXC HYDRG2.03            x18
             284 d EXC HYDRG2.03            x19
             285 d EXC HYDRG2.03            x20
             286 d EXC HYDRG2.03            x21
             287 a TOR HYDRG2.03            x01
             288 d TOR HYDRG2.03            x02
             289 d TOR HYDRG2.03            x03
             290 d TOR HYDRG2.03            x04
             291 a TOR HYDRG2.03            tm
             292 d TOR HYDRG2.03            x06
             293 a SYN HYDRG3.03            iy
             294 a SYN HYDRG3.03            ix
             295 a SYN HYDRG3.03            psiad
             296 a SYN HYDRG3.03            psiaq
             297 d SYN HYDRG3.03            psif
             298 d SYN HYDRG3.03            psid1
             299 d SYN HYDRG3.03            psiq1
             300 d SYN HYDRG3.03            psiq2
             301 d SYN HYDRG3.03            delta
             302 d SYN HYDRG3.03            omega
             303 a EXC HYDRG3.03            vf
             304 a EXC HYDRG3.03            x02
             305 d EXC HYDRG3.03            x03
             306 a EXC HYDRG3.03            x04
             307 a EXC HYDRG3.03            x05
             308 a EXC HYDRG3.03            x06
             309 a EXC HYDRG3.03            x07
             310 a EXC HYDRG3.03            x08
             311 d EXC HYDRG3.03            x09
             312 a EXC HYDRG3.03            x10
             313 a EXC HYDRG3.03            x11
             314 a EXC HYDRG3.03            x12
             315 a EXC HYDRG3.03            x13
             316 a EXC HYDRG3.03            x14
             317 a EXC HYDRG3.03            x15
             318 a EXC HYDRG3.03            x16
             319 a EXC HYDRG3.03            x17
             320 a EXC HYDRG3.03            x18
             321 d EXC HYDRG3.03            x19
             322 d EXC HYDRG3.03            x20
             323 d EXC HYDRG3.03            x21
             324 a TOR HYDRG3.03            x01
             325 d TOR HYDRG3.03            x02
             326 d TOR HYDRG3.03            x03
             327 d TOR HYDRG3.03            x04
             328 a TOR HYDRG3.03            tm
             329 d TOR HYDRG3.03            x06
             330 a SYN COALG4.02            iy
             331 a SYN COALG4.02            ix
             332 a SYN COALG4.02            psiad
             333 a SYN COALG4.02            psiaq
             334 d SYN COALG4.02            psif
             335 d SYN COALG4.02            psid1
             336 d SYN COALG4.02            psiq1
             337 d SYN COALG4.02            psiq2
             338 d SYN COALG4.02            delta
             339 d SYN COALG4.02            omega
             340 a EXC COALG4.02            vf
             341 a EXC COALG4.02            x02
             342 d EXC COALG4.02            x03
             343 a EXC COALG4.02            x04
             344 a EXC COALG4.02            x05
             345 a EXC COALG4.02            x06
             346 a EXC COALG4.02            x07
             347 a EXC COALG4.02            x08
             348 d EXC COALG4.02            x09
             349 a EXC COALG4.02            x10
             350 a EXC COALG4.02            x11
             351 a EXC COALG4.02            x12
             352 a EXC COALG4.02            x13
             353 a EXC COALG4.02            x14
             354 a EXC COALG4.02            x15
             355 a EXC COALG4.02            x16
             356 a EXC COALG4.02            x17
             357 a EXC COALG4.02            x18
             358 d EXC COALG4.02            x19
             359 d EXC COALG4.02            x20
             360 d EXC COALG4.02            x21
             361 a TOR COALG4.02            tm
             362 a TOR COALG4.02            x02
             363 d TOR COALG4.02            x03
             364 a TOR COALG4.02            x04
             365 d TOR COALG4.02            x05
             366 a SYN HYDRG4.03            iy
             367 a SYN HYDRG4.03            ix
             368 a SYN HYDRG4.03            psiad
             369 a SYN HYDRG4.03            psiaq
             370 d SYN HYDRG4.03            psif
             371 d SYN HYDRG4.03            psid1
             372 d SYN HYDRG4.03            psiq1
             373 d SYN HYDRG4.03            psiq2
             374 d SYN HYDRG4.03            delta
             375 d SYN HYDRG4.03            omega
             376 a EXC HYDRG4.03            vf
             377 a EXC HYDRG4.03            x02
             378 d EXC HYDRG4.03            x03
             379 a EXC HYDRG4.03            x04
             380 a EXC HYDRG4.03            x05
             381 a EXC HYDRG4.03            x06
             382 a EXC HYDRG4.03            x07
             383 a EXC HYDRG4.03            x08
             384 d EXC HYDRG4.03            x09
             385 a EXC HYDRG4.03            x10
             386 a EXC HYDRG4.03            x11
             387 a EXC HYDRG4.03            x12
             388 a EXC HYDRG4.03            x13
             389 a EXC HYDRG4.03            x14
             390 a EXC HYDRG4.03            x15
             391 a EXC HYDRG4.03            x16
             392 a EXC HYDRG4.03            x17
             393 a EXC HYDRG4.03            x18
             394 d EXC HYDRG4.03            x19
             395 d EXC HYDRG4.03            x20
             396 d EXC HYDRG4.03            x21
             397 a TOR HYDRG4.03            x01
             398 d TOR HYDRG4.03            x02
             399 d TOR HYDRG4.03            x03
             400 d TOR HYDRG4.03            x04
             401 a TOR HYDRG4.03            tm
             402 d TOR HYDRG4.03            x06
             403 a SYN NUCLG5.04            iy
             404 a SYN NUCLG5.04            ix
             405 a SYN NUCLG5.04            psiad
             406 a SYN NUCLG5.04            psiaq
             407 d SYN NUCLG5.04            psif
             408 d SYN NUCLG5.04            psid1
             409 d SYN NUCLG5.04            psiq1
             410 d SYN NUCLG5.04            psiq2
             411 d SYN NUCLG5.04            delta
             412 d SYN NUCLG5.04            omega
             413 a EXC NUCLG5.04            vf
             414 a EXC NUCLG5.04            x02
             415 d EXC NUCLG5.04            x03
             416 a EXC NUCLG5.04            x04
             417 a EXC NUCLG5.04            x05
             418 a EXC NUCLG5.04            x06
             419 a EXC NUCLG5.04            x07
             420 a EXC NUCLG5.04            x08
             421 d EXC NUCLG5.04            x09
             422 a EXC NUCLG5.04            x10
             423 a EXC NUCLG5.04            x11
             424 a EXC NUCLG5.04            x12
             425 a EXC NUCLG5.04            x13
             426 a EXC NUCLG5.04            x14
             427 a EXC NUCLG5.04            x15
             428 a EXC NUCLG5.04            x16
             429 a EXC NUCLG5.04            x17
             430 a EXC NUCLG5.04            x18
             431 d EXC NUCLG5.04            x19
             432 d EXC NUCLG5.04            x20
             433 d EXC NUCLG5.04            x21
             434 a TOR NUCLG5.04            tm
             435 a SYN NUCLG7.04            iy
             436 a SYN NUCLG7.04            ix
             437 a SYN NUCLG7.04            psiad
             438 a SYN NUCLG7.04            psiaq
             439 d SYN NUCLG7.04            psif
             440 d SYN NUCLG7.04            psid1
             441 d SYN NUCLG7.04            psiq1
             442 d SYN NUCLG7.04            psiq2
             443 d SYN NUCLG7.04            delta
             444 d SYN NUCLG7.04            omega
             445 a EXC NUCLG7.04            vf
             446 a EXC NUCLG7.04            x02
             447 d EXC NUCLG7.04            x03
             448 a EXC NUCLG7.04            x04
             449 a EXC NUCLG7.04            x05
             450 a EXC NUCLG7.04            x06
             451 a EXC NUCLG7.04            x07
             452 a EXC NUCLG7.04            x08
             453 d EXC NUCLG7.04            x09
             454 a EXC NUCLG7.04            x10
             455 a EXC NUCLG7.04            x11
             456 a EXC NUCLG7.04            x12
             457 a EXC NUCLG7.04            x13
             458 a EXC NUCLG7.04            x14
             459 a EXC NUCLG7.04            x15
             460 a EXC NUCLG7.04            x16
             461 a EXC NUCLG7.04            x17
             462 a EXC NUCLG7.04            x18
             463 d EXC NUCLG7.04            x19
             464 d EXC NUCLG7.04            x20
             465 d EXC NUCLG7.04            x21
             466 a TOR NUCLG7.04            tm
             467 a SYN CCGTG10.01           iy
             468 a SYN CCGTG10.01           ix
             469 a SYN CCGTG10.01           psiad
             470 a SYN CCGTG10.01           psiaq
             471 d SYN CCGTG10.01           psif
             472 d SYN CCGTG10.01           psid1
             473 d SYN CCGTG10.01           psiq1
             474 d SYN CCGTG10.01           psiq2
             475 d SYN CCGTG10.01           delta
             476 d SYN CCGTG10.01           omega
             477 a EXC CCGTG10.01           vf
             478 a EXC CCGTG10.01           x02
             479 d EXC CCGTG10.01           x03
             480 a EXC CCGTG10.01           x04
             481 a EXC CCGTG10.01           x05
             482 a EXC CCGTG10.01           x06
             483 a EXC CCGTG10.01           x07
             484 a EXC CCGTG10.01           x08
             485 d EXC CCGTG10.01           x09
             486 a EXC CCGTG10.01           x10
             487 a EXC CCGTG10.01           x11
             488 a EXC CCGTG10.01           x12
             489 a EXC CCGTG10.01           x13
             490 a EXC CCGTG10.01           x14
             491 a EXC CCGTG10.01           x15
             492 a EXC CCGTG10.01           x16
             493 a EXC CCGTG10.01           x17
             494 a EXC CCGTG10.01           x18
             495 d EXC CCGTG10.01           x19
             496 d EXC CCGTG10.01           x20
             497 d EXC CCGTG10.01           x21
             498 a TOR CCGTG10.01           tm
             499 a TOR CCGTG10.01           x02
             500 d TOR CCGTG10.01           x03
             501 a TOR CCGTG10.01           x04
             502 d TOR CCGTG10.01           x05
             503 a SYN COALG10.02           iy
             504 a SYN COALG10.02           ix
             505 a SYN COALG10.02           psiad
             506 a SYN COALG10.02           psiaq
             507 d SYN COALG10.02           psif
             508 d SYN COALG10.02           psid1
             509 d SYN COALG10.02           psiq1
             510 d SYN COALG10.02           psiq2
             511 d SYN COALG10.02           delta
             512 d SYN COALG10.02           omega
             513 a EXC COALG10.02           vf
             514 a EXC COALG10.02           x02
             515 d EXC COALG10.02           x03
             516 a EXC COALG10.02           x04
             517 a EXC COALG10.02           x05
             518 a EXC COALG10.02           x06
             519 a EXC COALG10.02           x07
             520 a EXC COALG10.02           x08
             521 d EXC COALG10.02           x09
             522 a EXC COALG10.02           x10
             523 a EXC COALG10.02           x11
             524 a EXC COALG10.02           x12
             525 a EXC COALG10.02           x13
             526 a EXC COALG10.02           x14
             527 a EXC COALG10.02           x15
             528 a EXC COALG10.02           x16
             529 a EXC COALG10.02           x17
             530 a EXC COALG10.02           x18
             531 d EXC COALG10.02           x19
             532 d EXC COALG10.02           x20
             533 d EXC COALG10.02           x21
             534 a TOR COALG10.02           tm
             535 a TOR COALG10.02           x02
             536 d TOR COALG10.02           x03
             537 a TOR COALG10.02           x04
             538 d TOR COALG10.02           x05
             539 a SYN NUCLG10.04           iy
             540 a SYN NUCLG10.04           ix
             541 a SYN NUCLG10.04           psiad
             542 a SYN NUCLG10.04           psiaq
             543 d SYN NUCLG10.04           psif
             544 d SYN NUCLG10.04           psid1
             545 d SYN NUCLG10.04           psiq1
             546 d SYN NUCLG10.04           psiq2
             547 d SYN NUCLG10.04           delta
             548 d SYN NUCLG10.04           omega
             549 a EXC NUCLG10.04           vf
