        91         36         64          7
         1       1653          1          0
         2       1690          2          0
         3       1726          2          0
         4       1763          3          0
         5       1800          4          0
         6       1836          4          0
         7       1873          5          0
         8       1905          7          0
         9       1937          8          0
        10       1973          8          0
        11       2009          8          0
        12       2041          9          0
        13       2077          9          0
        14       2113          9          0
        15       2145         10          0
        16       2181         10          0
        17       2218         10          0
        18       2250         11          0
        19       2286         12          0
        20       2322         12          0
        21       2358         13          0
        22       2394         14          0
        23       2430         14          0
        24       2466         15          0
        25       2502         16          0
        26       2534         17          0
        27       2570         18          0
        28       2606         19          0
        29       2642         19          0
        30       2678         20          0
        31       2714         21          0
        32       2750         21          0
        33       2786         23          0
        34       2822         23          0
        35       2858         24          0
        36       2894         24          0
        37       2926         30          0
        38       2928         38          0
        39       2930         83          0
        40       2932         54          0
        41       2934         85          0
        42       2936          1          0
        43       2960          1          0
        44       2984          2          0
        45       3008          3          0
        46       3032          4          0
        47       3056          4          0
        48       3080          6          0
        49       3104          6          0
        50       3128          7          0
        51       3152          7          0
        52       3176          8          0
        53       3200          9          0
        54       3224         10          0
        55       3248         11          0
        56       3272         12          0
        57       3296         15          0
        58       3320         19          0
        59       3344         22          0
        60       3368         24          0
        61       3392         57          0
        62       3403         58          0
        63       3414         59          0
        64       3425         60          0
        65       3436         61          0
        66       3447         62          0
        67       3458         63          0
        68       3469         64          0
        69       3480         65          0
        70       3491         66          0
        71       3502         67          0
        72       3513         68          0
        73       3524         69          0
        74       3535         70          0
        75       3546         71          0
        76       3557         72          0
        77       3568         73          0
        78       3579         74          0
        79       3590         75          0
        80       3601         76          0
        81       3612         77          0
        82       3623         78          0
        83       3634         79          0
        84       3645         80          0
        85       3656         81          0
        86       3667         82          0
        87       3678         84          0
        88       3689         86          0
        89       3700         87          0
        90       3711         26          0
        91       3718         34          0
        92       3725         44          0
        93       3732         47          0
        94       3739         48          0
        95       3746         49          0
        96       3753         51          0
        97       3760         53          0
        98       3767         55          0
        99       3774         56          0
       100       3781          1          0
       101       3783         37         88
       102       3827         38         89
       103       3871         53         90
       104       3915         54         91
       105       3959         29         30
       106       3986         52         83
       107       4013         53         85
         0       4040          0          0
